2020/2/7	Fri	17
2020/2/8	Sat	34
2020/2/9	Sun	35
2020/2/10	Mon	137
2020/2/11	Tue	32
2020/2/12	Wed	147
2020/2/13	Thu	156
2020/2/14	Fri	351
2020/2/15	Sat	156
2020/2/16	Sun	186
2020/2/17	Mon	970
2020/2/18	Tue	1208
2020/2/19	Wed	1209
2020/2/20	Thu	871
2020/2/21	Fri	856
2020/2/22	Sat	251
2020/2/23	Sun	249
2020/2/24	Mon	303
2020/2/25	Tue	1710
2020/2/26	Wed	1679
2020/2/27	Thu	1720
2020/2/28	Fri	1460
2020/2/29	Sat	237
2020/3/1	Sun	398
2020/3/2	Mon	2303
2020/3/3	Tue	1699
2020/3/4	Wed	1727
2020/3/5	Thu	1523
2020/3/6	Fri	1926
2020/3/7	Sat	271
2020/3/8	Sun	302
2020/3/9	Mon	2544
2020/3/10	Tue	1818
2020/3/11	Wed	1715
2020/3/12	Thu	1514
2020/3/13	Fri	1593
2020/3/14	Sat	255
2020/3/15	Sun	333
2020/3/16	Mon	2039
2020/3/17	Tue	1493
2020/3/18	Wed	1648
2020/3/19	Thu	1451
2020/3/20	Fri	245
2020/3/21	Sat	290
2020/3/22	Sun	341
2020/3/23	Mon	2051
2020/3/24	Tue	1573
2020/3/25	Wed	1064
2020/3/26	Thu	1476
2020/3/27	Fri	1558
2020/3/28	Sat	357
2020/3/29	Sun	325
2020/3/30	Mon	2386
2020/3/31	Tue	1949
2020/4/1	Wed	1903
2020/4/2	Thu	2496
2020/4/3	Fri	1942
2020/4/4	Sat	343
2020/4/5	Sun	393
2020/4/6	Mon	2694
2020/4/7	Tue	2388
2020/4/8	Wed	1718
2020/4/9	Thu	1989
2020/4/10	Fri	2029
2020/4/11	Sat	395
2020/4/12	Sun	406
2020/4/13	Mon	2293
2020/4/14	Tue	2167
2020/4/15	Wed	1531
2020/4/16	Thu	1777
2020/4/17	Fri	1707
2020/4/18	Sat	351
2020/4/19	Sun	412
2020/4/20	Mon	2015
2020/4/21	Tue	1466
2020/4/22	Wed	1460
2020/4/23	Thu	1335
2020/4/24	Fri	1397
2020/4/25	Sat	362
2020/4/26	Sun	357
2020/4/27	Mon	1861
2020/4/28	Tue	1231
2020/4/29	Wed	635
2020/4/30	Thu	1516
2020/5/1	Fri	1280
2020/5/2	Sat	346
2020/5/3	Sun	470
2020/5/4	Mon	915
2020/5/5	Tue	1031
2020/5/6	Wed	957
2020/5/7	Thu	1472
2020/5/8	Fri	1157
2020/5/9	Sat	411
2020/5/10	Sun	538
2020/5/11	Mon	1760
2020/5/12	Tue	1334
2020/5/13	Wed	1282
