2020/5/14	Thu	1100
2020/5/15	Fri	1236
2020/5/16	Sat	372
2020/5/17	Sun	390
2020/5/18	Mon	1798
2020/5/19	Tue	1240
2020/5/20	Wed	960
2020/5/21	Thu	951
2020/5/22	Fri	984
2020/5/23	Sat	598
2020/5/24	Sun	600
2020/5/25	Mon	1309
2020/5/26	Tue	937
2020/5/27	Wed	980
2020/5/28	Thu	932
2020/5/29	Fri	959
2020/5/30	Sat	671
2020/5/31	Sun	668
2020/6/1	Mon	1417
2020/6/2	Tue	1200
2020/6/3	Wed	1350
2020/6/4	Thu	1363
2020/6/5	Fri	1440
2020/6/6	Sat	777
2020/6/7	Sun	790
2020/6/8	Mon	1628
2020/6/9	Tue	1138
2020/6/10	Wed	1113
2020/6/11	Thu	938
2020/6/12	Fri	931
2020/6/13	Sat	548
2020/6/14	Sun	658
2020/6/15	Mon	1265
2020/6/16	Tue	928
2020/6/17	Wed	906
2020/6/18	Thu	873
2020/6/19	Fri	801
2020/6/20	Sat	611
2020/6/21	Sun	597
2020/6/22	Mon	1065
2020/6/23	Tue	889
2020/6/24	Wed	985
2020/6/25	Thu	959
2020/6/26	Fri	996
2020/6/27	Sat	739
2020/6/28	Sun	743
2020/6/29	Mon	1464
2020/6/30	Tue	1149
2020/7/1	Wed	1362
2020/7/2	Thu	1540
2020/7/3	Fri	1659
2020/7/4	Sat	878
2020/7/5	Sun	1040
2020/7/6	Mon	2262
2020/7/7	Tue	1777
2020/7/8	Wed	1804
2020/7/9	Thu	2003
2020/7/10	Fri	2064
2020/7/11	Sat	1114
2020/7/12	Sun	1271
2020/7/13	Mon	2824
2020/7/14	Tue	2661
2020/7/15	Wed	2463
2020/7/16	Thu	2716
2020/7/17	Fri	2683
2020/7/18	Sat	1103
2020/7/19	Sun	1357
2020/7/20	Mon	3780
2020/7/21	Tue	2827
2020/7/22	Wed	2988
2020/7/23	Thu	2010
2020/7/24	Fri	2088
2020/7/25	Sat	1321
2020/7/26	Sun	1485
2020/7/27	Mon	4060
2020/7/28	Tue	2849
2020/7/29	Wed	2693
2020/7/30	Thu	2764
2020/7/31	Fri	2847
2020/8/1	Sat	1120
2020/8/2	Sun	1394
2020/8/3	Mon	3128
2020/8/4	Tue	2854
2020/8/5	Wed	2429
2020/8/6	Thu	2378
2020/8/7	Fri	2366
2020/8/8	Sat	1026
2020/8/9	Sun	1295
2020/8/10	Mon	1328
2020/8/11	Tue	3145
2020/8/12	Wed	1945
2020/8/13	Thu	2040
2020/8/14	Fri	2273
2020/8/15	Sat	1351
2020/8/16	Sun	1360
2020/8/17	Mon	2575
2020/8/18	Tue	1973
2020/8/19	Wed	1858
2020/8/20	Thu	1787
2020/8/21	Fri	1830
2020/8/22	Sat	1292
2020/8/23	Sun	1239
2020/8/24	Mon	2590
2020/8/25	Tue	1850
2020/8/26	Wed	2092
2020/8/27	Thu	2149
2020/8/28	Fri	2179
2020/8/29	Sat	1344
2020/8/30	Sun	1431
2020/8/31	Mon	2701
2020/9/1	Tue	1813
2020/9/2	Wed	1963
2020/9/3	Thu	1987
2020/9/4	Fri	2027
2020/9/5	Sat	1393
2020/9/6	Sun	1327
2020/9/7	Mon	2312
2020/9/8	Tue	1704
2020/9/9	Wed	1761
2020/9/10	Thu	1771
2020/9/11	Fri	1987
2020/9/12	Sat	1458
2020/9/13	Sun	1297
2020/9/14	Mon	2307
2020/9/15	Tue	1788
2020/9/16	Wed	1777
2020/9/17	Thu	1784
2020/9/18	Fri	1845
2020/9/19	Sat	1283
2020/9/20	Sun	1316
2020/9/21	Mon	1272
2020/9/22	Tue	1215
2020/9/23	Wed	2495
2020/9/24	Thu	1538
2020/9/25	Fri	1714
2020/9/26	Sat	1201
2020/9/27	Sun	1153
2020/9/28	Mon	2142
2020/9/29	Tue	1420
2020/9/30	Wed	1333
2020/10/1	Thu	1294
2020/10/2	Fri	1350
2020/10/3	Sat	1044
2020/10/4	Sun	1103
2020/10/5	Mon	1930
2020/10/6	Tue	1385
2020/10/7	Wed	1403
2020/10/8	Thu	1306
2020/10/9	Fri	1307
2020/10/10	Sat	951
2020/10/11	Sun	964
2020/10/12	Mon	2013
2020/10/13	Tue	1271
2020/10/14	Wed	1176
2020/10/15	Thu	1158
2020/10/16	Fri	1142
2020/10/17	Sat	772
2020/10/18	Sun	760
2020/10/19	Mon	1336
2020/10/20	Tue	1067
2020/10/21	Wed	1068
2020/10/22	Thu	1141
2020/10/23	Fri	1084
2020/10/24	Sat	716
2020/10/25	Sun	718
2020/10/26	Mon	1443
2020/10/27	Tue	1074
2020/10/28	Wed	982
2020/10/29	Thu	1162
